investment_id,user_id,investment_type,amount,purchase_date,current_value,profit,roi,profit_status
1,452,Gold,319592.0,2026-05-03,410940.69,91348.69,28.58290883376305,Profit
2,324,Stocks,83808.0,2026-03-31,98722.18,14914.179999999993,17.79565196639938,Profit
3,3,Gold,337841.0,2025-08-21,281895.7,-55945.29999999999,-16.559653801640415,Loss
4,208,Fixed Deposits,188681.0,2025-02-12,228514.33,39833.32999999999,21.111468563342353,Profit
5,452,Cryptocurrency,259243.0,2026-05-11,386169.22,126926.21999999997,48.96032679763773,Profit
6,496,Mutual Funds,351507.0,2026-05-16,483281.64,131774.64,37.488482448429195,Profit
7,172,Fixed Deposits,446376.0,2026-04-02,391657.24,-54718.76000000001,-12.25844579457677,Loss
8,291,Stocks,344737.0,2024-12-21,444869.13,100132.13,29.045948070558136,Profit
9,73,Gold,23689.0,2025-03-02,31062.78,7373.779999999999,31.127443117058544,Profit
10,180,Fixed Deposits,220328.0,2025-11-29,259391.17,39063.17000000001,17.729553211575475,Profit
11,359,Mutual Funds,465178.0,2025-11-29,588251.58,123073.57999999996,26.45730881512022,Profit
12,177,Stocks,159323.0,2024-08-01,172817.33,13494.329999999987,8.469794066142358,Profit
13,377,Fixed Deposits,475000.0,2024-08-20,638733.33,163733.32999999996,34.4701747368421,Profit
14,468,Gold,306386.0,2025-09-01,374601.91,68215.90999999997,22.264695514808107,Profit
15,282,Fixed Deposits,32649.0,2025-03-03,44535.42,11886.419999999998,36.40668933198566,Profit
16,443,Fixed Deposits,424855.0,2026-03-12,449276.87,24421.869999999995,5.748283532028573,Profit
17,228,Fixed Deposits,32407.0,2024-12-20,42537.15,10130.150000000001,31.259141543493698,Profit
18,83,Fixed Deposits,182167.0,2024-11-15,277164.75,94997.75,52.14871518990816,Profit
19,455,Gold,221012.0,2024-10-16,201350.47,-19661.53,-8.896136861346895,Loss
20,177,Gold,34156.0,2025-02-13,27579.39,-6576.610000000001,-19.25462583440684,Loss
21,158,Fixed Deposits,491347.0,2025-09-04,663957.76,172610.76,35.1301137485321,Profit
22,464,Cryptocurrency,170465.0,2024-09-06,156005.52,-14459.48000000001,-8.482374681019571,Loss
23,81,Cryptocurrency,458689.0,2025-12-23,700971.18,242282.18000000005,52.82057777709953,Profit
24,328,Fixed Deposits,434901.0,2025-09-09,466618.92,31717.919999999984,7.293135679154562,Profit
25,255,Mutual Funds,355467.0,2026-02-27,307082.13,-48384.869999999995,-13.611634835301164,Loss
26,393,Stocks,129333.0,2026-06-04,203818.42,74485.42000000001,57.59196802053614,Profit
27,451,Stocks,261379.0,2025-10-11,295920.05,34541.04999999999,13.214929278939772,Profit
28,397,Stocks,286278.0,2024-09-11,414263.0,127985.0,44.70654398871027,Profit
29,207,Stocks,192853.0,2026-03-20,224731.37,31878.369999999995,16.529880271502126,Profit
30,132,Mutual Funds,365212.0,2026-07-12,564205.44,198993.43999999994,54.48710338104989,Profit
31,426,Fixed Deposits,435438.0,2025-09-06,427382.91,-8055.090000000026,-1.849882187590432,Loss
32,38,Cryptocurrency,375173.0,2026-06-04,321183.25,-53989.75,-14.390627790379371,Loss
33,329,Cryptocurrency,292774.0,2025-07-27,244558.67,-48215.32999999999,-16.468446651683546,Loss
34,422,Fixed Deposits,146872.0,2024-10-13,131653.65,-15218.350000000006,-10.361641429271751,Loss
35,16,Gold,498590.0,2024-11-09,624045.63,125455.63,25.162083074269443,Profit
36,267,Gold,387933.0,2025-12-11,505399.16,117466.15999999997,30.280012270160046,Profit
37,138,Fixed Deposits,157355.0,2025-05-25,233691.79,76336.79000000001,48.51246544437737,Profit
38,318,Fixed Deposits,414378.0,2025-04-10,405882.49,-8495.51000000001,-2.050183648745833,Loss
39,440,Fixed Deposits,176614.0,2026-04-18,180799.13,4185.130000000005,2.3696479327799636,Profit
40,234,Stocks,85109.0,2025-11-05,136014.74,50905.73999999999,59.81240526853798,Profit
41,406,Cryptocurrency,125558.0,2025-02-05,150799.03,25241.03,20.103083833766068,Profit
42,433,Fixed Deposits,232834.0,2026-06-28,274497.0,41663.0,17.89386429816951,Profit
43,158,Cryptocurrency,146263.0,2025-09-26,227064.13,80801.13,55.24372534407198,Profit
44,187,Gold,42194.0,2026-02-23,45547.2,3353.199999999997,7.947101483623258,Profit
45,279,Stocks,39820.0,2025-02-04,39245.34,-574.6600000000035,-1.4431441486690193,Loss
46,171,Fixed Deposits,215987.0,2025-06-14,201207.16,-14779.839999999997,-6.842930361549536,Loss
47,277,Cryptocurrency,297306.0,2026-04-17,377620.52,80314.52000000002,27.014093223816545,Profit
48,233,Cryptocurrency,435688.0,2025-01-04,665974.13,230286.13,52.85574310056737,Profit
49,150,Stocks,312565.0,2026-04-09,378347.74,65782.73999999999,21.046099211364034,Profit
50,204,Cryptocurrency,192217.0,2026-04-26,304835.42,112618.41999999998,58.589209070997875,Profit
51,162,Gold,431279.0,2026-06-22,622966.17,191687.17000000004,44.446209993994614,Profit
52,432,Cryptocurrency,445940.0,2025-02-27,624966.64,179026.64,40.14590303628291,Profit
53,439,Cryptocurrency,10456.0,2025-11-08,10457.63,1.6299999999991996,0.015589135424628916,Profit
54,369,Gold,434265.0,2025-01-19,535078.97,100813.96999999997,23.214850379376642,Profit
55,379,Cryptocurrency,53849.0,2024-08-10,76107.0,22258.0,41.334100911808946,Profit
56,185,Stocks,40382.0,2025-02-06,43906.73,3524.730000000003,8.728468129364577,Profit
57,340,Cryptocurrency,371290.0,2026-01-25,353346.31,-17943.690000000002,-4.832796466373994,Loss
58,15,Stocks,50829.0,2025-08-31,46417.98,-4411.019999999997,-8.678156170689954,Loss
59,139,Gold,498705.0,2025-10-26,737996.68,239291.68000000005,47.982610962392606,Profit
60,238,Fixed Deposits,191228.0,2024-11-23,289373.37,98145.37,51.3237444307319,Profit
61,410,Mutual Funds,252283.0,2025-08-28,322539.83,70256.83000000002,27.848420226491683,Profit
62,305,Mutual Funds,233946.0,2026-06-27,191521.67,-42424.32999999999,-18.13424038025869,Loss
63,487,Fixed Deposits,440881.0,2025-07-01,382707.04,-58173.96000000002,-13.194934687591442,Loss
64,377,Stocks,229615.0,2024-08-22,339816.58,110201.58000000002,47.99406833177275,Profit
65,487,Stocks,84340.0,2026-03-16,133102.68,48762.67999999999,57.81678918662555,Profit
66,351,Gold,276906.0,2026-06-10,265366.76,-11539.23999999999,-4.167204755404358,Loss
67,78,Mutual Funds,263220.0,2025-08-10,348716.08,85496.08000000002,32.48084492059874,Profit
68,452,Mutual Funds,356187.0,2024-12-01,494229.43,138042.43,38.7556059036405,Profit
69,358,Cryptocurrency,144204.0,2025-08-13,159102.28,14898.279999999999,10.331391639621646,Profit
70,30,Stocks,213540.0,2026-02-17,186825.96,-26714.040000000008,-12.510087103118858,Loss
71,170,Mutual Funds,169863.0,2025-08-10,246652.84,76789.84,45.20692558120367,Profit
72,371,Mutual Funds,493523.0,2025-05-21,487331.19,-6191.809999999998,-1.2546142732962795,Loss
73,329,Fixed Deposits,447575.0,2026-06-14,509262.13,61687.130000000005,13.78252359939675,Profit
74,151,Stocks,84702.0,2025-11-18,74586.79,-10115.210000000006,-11.942114708035238,Loss
75,348,Stocks,58187.0,2024-08-06,89935.1,31748.100000000006,54.56218743018201,Profit
76,500,Fixed Deposits,437887.0,2026-04-08,506684.4,68797.40000000002,15.711222301644037,Profit
77,189,Fixed Deposits,404406.0,2025-12-26,545022.75,140616.75,34.77118292013471,Profit
78,175,Gold,246597.0,2026-06-22,356075.29,109478.28999999998,44.39562930611483,Profit
79,167,Fixed Deposits,250683.0,2026-03-08,229596.02,-21086.98000000001,-8.411810932532326,Loss
80,379,Mutual Funds,143741.0,2025-11-04,181904.64,38163.640000000014,26.550281408923006,Profit
81,240,Gold,488370.0,2025-07-12,722483.1,234113.09999999998,47.937649732784564,Profit
82,222,Stocks,489194.0,2026-01-16,691129.4,201935.40000000002,41.27920620449147,Profit
83,30,Stocks,61428.0,2026-06-26,50093.75,-11334.25,-18.451276290942243,Loss
84,233,Stocks,135266.0,2025-02-17,215029.03,79763.03,58.96753803616578,Profit
85,149,Stocks,136169.0,2024-11-21,141214.36,5045.359999999986,3.7052192496089313,Profit
86,320,Mutual Funds,33176.0,2026-05-17,28525.2,-4650.799999999999,-14.018567639257293,Loss
87,378,Stocks,82431.0,2025-06-03,68493.57,-13937.429999999993,-16.907995778287287,Loss
88,161,Fixed Deposits,479337.0,2024-11-11,621537.53,142200.53000000003,29.666086698919553,Profit
89,495,Gold,205585.0,2026-03-17,189139.7,-16445.29999999999,-7.999270374784147,Loss
90,381,Fixed Deposits,488595.0,2024-12-07,531751.03,43156.03000000003,8.832679417513488,Profit
91,383,Gold,313366.0,2025-07-30,396543.38,83177.38,26.543205070109714,Profit
92,423,Fixed Deposits,53663.0,2025-05-05,61560.48,7897.480000000003,14.71680673834859,Profit
93,128,Cryptocurrency,80037.0,2026-06-12,121958.48,41921.479999999996,52.37762534827641,Profit
94,264,Fixed Deposits,120782.0,2026-04-22,159216.56,38434.56,31.82143034558129,Profit
95,291,Gold,136567.0,2025-12-25,176536.28,39969.28,29.267158244671116,Profit
96,58,Mutual Funds,386631.0,2026-03-17,459705.34,73074.34000000003,18.90027959475573,Profit
97,1,Gold,66248.0,2024-08-09,80899.13,14651.130000000005,22.115580847723713,Profit
98,214,Gold,278460.0,2026-02-19,266907.73,-11552.270000000019,-4.148628169216411,Loss
99,320,Cryptocurrency,351362.0,2026-05-04,546634.2,195272.19999999995,55.57578793381184,Profit
100,381,Stocks,105828.0,2026-06-28,114440.93,8612.929999999993,8.13861170956646,Profit
101,429,Cryptocurrency,32525.0,2025-02-27,48725.49,16200.489999999998,49.809346656418136,Profit
102,155,Cryptocurrency,276519.0,2025-06-13,288455.17,11936.169999999984,4.316582224006301,Profit
103,234,Cryptocurrency,228246.0,2025-06-05,362110.67,133864.66999999998,58.64929505884001,Profit
104,435,Stocks,236499.0,2026-06-10,376929.21,140430.21000000002,59.37877538594244,Profit
105,131,Fixed Deposits,414315.0,2024-08-21,477860.87,63545.869999999995,15.337574068040016,Profit
106,385,Stocks,66226.0,2024-08-31,90884.3,24658.300000000003,37.233563857095405,Profit
107,221,Gold,228540.0,2026-07-05,204985.88,-23554.119999999995,-10.306344622385575,Loss
108,423,Gold,306785.0,2024-09-29,354017.97,47232.96999999997,15.39611454275795,Profit
109,79,Fixed Deposits,439635.0,2026-03-18,472835.83,33200.830000000016,7.551907832633893,Profit
110,314,Mutual Funds,227326.0,2026-03-04,267305.78,39979.78000000003,17.58698081169775,Profit
111,144,Stocks,240978.0,2026-07-05,252223.48,11245.48000000001,4.666600270564122,Profit
112,404,Fixed Deposits,178819.0,2025-09-17,168077.95,-10741.049999999988,-6.006660366068476,Loss
113,499,Fixed Deposits,298628.0,2025-06-06,366167.15,67539.15000000002,22.616482714279982,Profit
114,342,Gold,111354.0,2025-08-09,127124.22,15770.220000000001,14.162239344792285,Profit
