goal_id,user_id,goal_name,target_amount,current_amount,deadline,completion_percentage,remaining_amount,goal_status
1,240,Vacation,813314.0,270251.0,2028-11-15,33.22837182195315,543063.0,Started
2,373,Car Purchase,71896.0,52134.0,2027-03-11,72.51307444085901,19762.0,Half Completed
3,406,Emergency Fund,993359.0,323850.0,2028-07-03,32.60150660536624,669509.0,Started
4,422,Car Purchase,920308.0,134584.0,2026-11-24,14.623799858308306,785724.0,Started
5,241,Emergency Fund,259270.0,72840.0,2028-01-31,28.094264666178116,186430.0,Started
6,392,Vacation,118850.0,84150.0,2029-04-01,70.80353386621793,34700.0,Half Completed
7,345,Car Purchase,507665.0,184993.0,2028-07-19,36.439975180483195,322672.0,Started
8,167,Vacation,984022.0,573094.0,2028-01-10,58.239958049718396,410928.0,Half Completed
9,298,Emergency Fund,79491.0,64606.0,2027-03-18,81.27460970424325,14885.0,Almost Complete
10,38,Car Purchase,598619.0,400845.0,2027-06-17,66.96162333637923,197774.0,Half Completed
11,364,Vacation,333738.0,43652.0,2029-02-02,13.079721218440813,290086.0,Started
12,152,House Down Payment,299309.0,241270.0,2027-06-18,80.60900273630261,58039.0,Almost Complete
13,320,House Down Payment,696155.0,650129.0,2028-03-21,93.3885413449591,46026.0,Almost Complete
14,397,Vacation,379919.0,68632.0,2029-03-26,18.064903308336778,311287.0,Started
15,63,House Down Payment,140381.0,72648.0,2026-10-29,51.75059302897116,67733.0,Half Completed
16,66,Emergency Fund,359263.0,166968.0,2027-06-17,46.475144949521656,192295.0,Started
17,463,Car Purchase,725136.0,59137.0,2028-12-25,8.15529776483308,665999.0,Started
18,14,Emergency Fund,533884.0,343329.0,2027-05-22,64.3077897071274,190555.0,Half Completed
19,462,House Down Payment,60451.0,12050.0,2028-02-09,19.93349985939025,48401.0,Started
20,438,Emergency Fund,159751.0,20268.0,2026-08-31,12.687244524290927,139483.0,Started
21,343,House Down Payment,108417.0,39432.0,2028-07-10,36.37067987492736,68985.0,Started
22,474,Vacation,357783.0,12183.0,2029-06-14,3.4051366330988335,345600.0,Started
